range,from_id,to_id,tx1,rx1,tx2,rx2,tx3,rx3,fpp1,fpp2,skew1,skew2,r_iw_a_ifo001,q_ai_ifo001,r_iw_a_ifo002,q_ai_ifo002,r_iw_a_ifo003,q_ai_ifo003,gt_range,bias,pair,del_t1,del_t2,del_t3,del_t4,range_raw,bias_raw,tx1_raw,tx2_raw,tx3_raw,rx1_raw,rx2_raw,rx3_raw,std,timestamp
2.935761711240539,10,30,94247370665.95744,91710688012.93307,91711057044.23448,94247739716.82434,91712595762.1832,94249278434.666,-81.60649871826172,-81.47090148925781,-0.2392999976873397,0.2243999987840652,[-0.71485307 -1.5058505   1.19174906],[ 0.02532981 -0.01184635  0.91070439 -0.41211071],[ 0.23741816 -0.09219455  1.12075409],[-0.00342654  0.01495848  0.9379384  -0.3464593 ],[0.68720615 0.91144726 0.87918056],[-3.23426959e-02 -2.12095352e-04  9.57856559e-01 -2.85416104e-01],2.8477548064226013,0.0880069048179379,"(10, 30)",369050.9972229004,369030.98081970215,1538717.9330749512,1538717.94871521,3.0,0.1522451935773987,94247370665.87616,91711057044.08138,91712595762.03008,91710688013.10056,94247739716.8734,94249278434.80647,0.1338931698482477,98.52760362625122
1.2046057811066375,20,30,96837880457.62312,92886767017.75256,92887072020.19598,96838185467.77356,92888610738.1447,96839724184.049,-80.96119689941406,-80.70570373535156,0.7310000061988831,-0.9462000131607056,[ 0.20475609 -1.62742829  1.30928222],[ 0.01165877  0.00636917  0.8982129  -0.43935966],[1.10442838 0.13867226 0.81038646],[ 0.00195508  0.01145114  0.90579021 -0.42356627],[-0.10905818  0.53716108  1.03463391],[-0.01281743 -0.00433118  0.99791616 -0.06307994],1.3328204107668655,-0.1282146296602282,"(20, 30)",305010.125579834,305002.2536010742,1538716.368057251,1538717.94871521,1.2265000343322754,-0.1063203764345903,96837880457.5428,92887072020.04288,92888610737.9916,92886767017.78928,96838185467.66837,96839724184.03642,0.0912084851475914,99.74825191497803
4.702464518467275,30,0,95733007372.76004,48117200.97524008,48421507.23208868,95666095302.11536,49960225.18080663,95667634030.04564,-87.64230346679688,-88.27249908447266,-6.667300224304199,6.363699913024902,[ 0.22073467 -1.62909654  1.31055328],[ 0.01185077  0.00822826  0.89888273 -0.43795017],[1.11826593 0.14474591 0.80862188],[-4.41957231e-04  1.02066040e-02  9.06197983e-01 -4.22729697e-01],[-0.12367025  0.53237006  1.03551649],[-0.01131059 -0.00421035  0.99822243 -0.05835421],4.605140465873897,0.097324052593378,"(30, 0)",-66912070.17164612,304306.0772235617,1538727.7456359863,1538717.9487179518,4.805699825286865,0.2005593594129679,95733007372.60692,48421507.224058494,49960225.172776446,48117201.14683493,95666095302.43529,95667634030.18092,0.1867255295525909,99.76958179473877
1.4837518880988865,21,31,96382835930.58913,98013504866.14684,98013809632.24036,96383140706.08228,98015348350.18909,96384679421.4973,-84.70790100097656,-85.65899658203125,1.3559999465942385,-1.5542999505996704,[ 0.27350801 -1.63448086  1.31417662],[ 0.01070229  0.01072828  0.90014719 -0.43532211],[1.16043927 0.16234081 0.80441063],[-0.00785596  0.01134913  0.90534903 -0.42444338],[-0.16796976  0.51785156  1.03900703],[-0.00892848 -0.0056105   0.99889406 -0.04581948],1.436878308898707,0.0468735792001795,"(21, 31)",304776.40786743164,304765.7814941406,1538715.0691223145,1538717.94871521,1.6778000593185425,0.2409217504198355,96382835930.2992,98013809632.22224,98015348350.17096,98013504866.44077,96383140706.70708,96384679421.7762,0.1986348636122812,99.83523035049438
2.277207056409185,10,31,96521088742.88048,99026405042.85168,99026709135.44548,96521392850.3464,99028247853.3942,96522931566.654,-81.45259857177734,-81.50659942626953,1.5618000030517578,-1.169700026512146,[ 1.07954246 -1.70895772  1.34624014],[ 0.0070671   0.02820367  0.94918157 -0.31338133],[1.48699119 0.27313849 0.77827053],[ 0.03263491 -0.02036083 -0.84643882  0.53109416],[-0.84021229  0.25841746  1.06900201],[ 1.06423827e-04 -2.27619034e-02  9.98305576e-01  5.35477767e-02],2.379568899909128,-0.102361843499942,"(10, 31)",304107.6034088135,304092.61068725586,1538716.227218628,1538717.94871521,2.297600030899048,-0.0819688690100797,96521088742.7992,99026709135.42735,99028247853.37608,99026405042.81668,96521392850.40262,96522931566.62984,0.1305287587527126,100.85050940513611
2.208940410741258,20,31,98500395497.6872,99658499996.3745,99658803967.17622,98500699482.6024,99660342685.12495,98502238197.37508,-83.35710144042969,-83.51629638671875,2.00600004196167,-2.406500101089477,[ 1.54706725 -1.67471728  1.33940797],[-0.02923204  0.03417295  0.9398109  -0.33871993],[1.41934566 0.2499859  0.78135493],[ 0.00146705 -0.00882158 -0.78272966  0.6222976 ],[-1.17864725  0.00339957  1.08903365],[2.72516803e-02 9.07833328e-04 9.96575990e-01 7.80432811e-02],2.3439511880410087,-0.1350107772997506,"(20, 31)",303985.3296508789,303970.54035949707,1538714.693511963,1538717.9487304688,2.3125,-0.0314511880410086,98500395497.60686,99658803967.1581,99660342685.10684,99658499996.61774,98500699482.93652,98502238197.63002,0.1958202552186814,101.49381875991821
3.9608572286054735,30,3,98040872853.5292,8955485.529332805,9260633.925916858,97973961618.92493,10799351.874634806,97975500341.0268,-85.42040252685547,-85.81710052490234,-3.1133999824523926,2.6001999378204346,[ 1.70719336 -1.60200019  1.33333485],[-0.02917568  0.0218365   0.92058776 -0.38883153],[1.34124453 0.27514494 0.77017464],[-0.00673426  0.00421333 -0.78520129  0.61918921],[-1.29632508 -0.15200842  1.09964143],[0.02216057 0.03447118 0.98520656 0.1663389 ],3.809577921298793,0.1512793073066802,"(30, 3)",-66911234.00566101,305147.90852864645,1538722.0333709717,1538717.948717948,4.125699996948242,0.3161220756494489,98040872853.3761,9260633.826622596,10799351.775340544,8955485.91809395,97973961619.37044,97975500341.4038,0.1966376120081929,102.0806872844696
2.4786686164821776,30,20,98197868702.88815,98317644670.4076,98317949039.35384,98130956678.39104,98319487757.30258,98132495397.71568,-81.62760162353516,-81.45140075683594,-0.9387000203132628,0.9545999765396118,[ 1.70061517 -1.58787049  1.33194676],[-0.01948941  0.01887077  0.91349896 -0.40592674],[1.33103237 0.28649174 0.76947604],[-0.00428671  0.00139873 -0.79727782  0.60359518],[-1.29070455 -0.16734842  1.1028002 ],[0.00368693 0.02844604 0.97986876 0.19757068],2.536119430568273,-0.0574508140860952,"(30, 20)",-66912024.20747376,304368.78692626953,1538719.2320098877,1538717.9487304688,2.5485999584198,0.0124805278515269,98197868702.73506,98317949039.27351,98319487757.22224,98317644670.4866,98130956678.5276,98132495397.7596,0.1339179596306405,102.24807953834534
1.820155779310365,30,4,98892848238.14456,40210378.20635064,40516058.60214307,98825937521.70084,42054776.55086102,98827476246.04482,-82.69390106201172,-82.16909790039062,-4.190899848937988,4.328700065612793,[ 1.57472361 -1.56158498  1.31039903],[ 0.00530048  0.06664349  0.89886917 -0.43308305],[1.34919436 0.32421846 0.77678924],[ 0.00126693 -0.04126811 -0.83287055  0.55192419],[-1.20017284 -0.13495831  1.10253196],[ 0.01829019 -0.03986974  0.95102509  0.30598532],1.891999806492127,-0.0718440271817615,"(30, 4)",-66910716.02062988,305680.025540866,1538724.271331787,1538717.9487179518,1.9412000179290767,0.0492002114369496,98892848237.99146,40516058.506109774,42054776.454827726,40210378.48056891,98825937521.97084,98827476246.24216,0.1741812466529973,102.94745445251465
4.407710071434831,31,5,100332336555.31725,50091453.52476505,50395361.71529851,100332640494.8847,51934079.66401646,100334179222.77245,-93.93679809570312,-94.78510284423828,-7.183199882507324,6.566699981689453,[ 1.53127568 -1.54046034  1.25652393],[ 0.00308339  0.07333955  0.901926   -0.42560422],[1.34494598 0.34757415 0.80755228],[ 0.01797655 -0.07712221 -0.84178164  0.53397706],[-1.17440728 -0.14426813  1.08925414],[ 0.03412676 -0.04630652  0.94498286  0.32201931],4.386116271547041,0.0215937998877899,"(31, 5)",303939.4593811035,303907.5802533999,1538728.2777404785,1538717.9487179518,4.471399784088135,0.0852835125410935,100332336555.29912,50395361.39072516,51934079.33944311,50091453.81047176,100332640494.7585,100334179223.03624,0.1856243001827586,103.10084295272827
