my_id,from_id,to_id,rx1,rx2,rx3,fpp1,fpp2,fpp3,skew1,skew2,skew3,fpp1_n,fpp2_n,skew1_n,skew2_n,rx1_raw,rx2_raw,rx3_raw,std,timestamp,tx1_n,rx1_n,tx2_n,rx2_n,tx3_n,rx3_n,range_n,bias_n,tx1_raw_n,rx1_raw_n,tx2_raw_n,rx2_raw_n,tx3_raw_n,rx3_raw_n,range_raw_n,bias_raw_n,gt_range_n,timestamp_n
30,31,5,39343169143.175125,39343474648.56539,39345013374.79704,-80.40619659423828,-90.4656982421875,-95.0374984741211,-1.499400019645691,4.444200038909912,5.18179988861084,-87.79190063476562,-87.56520080566406,-6.6570000648498535,6.877799987792969,39343169143.11291,39343474648.7657,39345013374.836784,0.2001550071181508,41.99264883995056,39747162645.06223,27334740.44158188,27640217.484529283,39747468150.28898,29178935.43324723,39749006878.1454,3.928628577401967,-0.0124058928084505,39747162645.044106,27334741.00748698,27640217.15995593,39747468150.477806,29178935.10867388,39749006878.72425,4.081399917602539,0.1403654473921216,3.9410344702104174,41.77155351638794
21,11,30,39727909917.56385,39728214531.82368,39729753248.73377,-81.34300231933594,-81.33309936523438,-82.01329803466797,0.0745000019669532,-0.6807000041007996,-0.5149999856948853,-82.30149841308594,-81.28089904785156,0.3864000141620636,-0.6575000286102295,39727909917.85248,39728214532.11029,39729753249.151306,0.1346578228840348,42.39979910850525,40533257428.77597,35778828721.35052,35779133326.287056,40533562051.49439,35780672044.23577,40535100768.424194,2.6948621238598998,-0.0451756835702927,40533257428.69794,35778828721.64176,35779133326.13395,40533562051.50067,35780672044.082664,40535100768.52604,2.771199941635132,0.0311621342049397,2.740037807430192,42.313395500183105
10,11,30,39928697997.10986,39929002620.53522,39930541338.73378,-81.1417007446289,-83.435302734375,-84.01820373535156,0.6984000205993652,0.490799993276596,0.132200002670288,-82.30149841308594,-81.28089904785156,0.3864000141620636,-0.6575000286102295,39928697997.09176,39929002620.86479,39930541339.095215,0.1818853193493698,42.45668864250183,40533257428.77597,35778828721.35052,35779133326.287056,40533562051.49439,35780672044.23577,40535100768.424194,2.6948621238598998,-0.0451756835702927,40533257428.69794,35778828721.64176,35779133326.13395,40533562051.50067,35780672044.082664,40535100768.52604,2.771199941635132,0.0311621342049397,2.740037807430192,42.313395500183105
20,11,30,40200498611.40458,40200803227.11293,40202341944.07253,-82.53399658203125,-91.02110290527344,-86.60780334472656,-0.2169000059366226,-0.6313999891281128,-0.3222000002861023,-82.30149841308594,-81.28089904785156,0.3864000141620636,-0.6575000286102295,40200498611.63753,40200803227.19429,40202341944.39181,0.1974006468142261,42.51682233810425,40533257428.77597,35778828721.35052,35779133326.287056,40533562051.49439,35780672044.23577,40535100768.424194,2.6948621238598998,-0.0451756835702927,40533257428.69794,35778828721.64176,35779133326.13395,40533562051.50067,35780672044.082664,40535100768.52604,2.771199941635132,0.0311621342049397,2.740037807430192,42.313395500183105
31,11,30,39812509099.70323,39812813704.59511,39814352424.12958,-87.64569854736328,-79.29940032958984,-80.92500305175781,1.5356999635696411,0.8596000075340271,1.4229999780654907,-82.30149841308594,-81.28089904785156,0.3864000141620636,-0.6575000286102295,39812509099.88748,39812813704.41097,39814352423.98729,0.1280117795273843,42.5546715259552,40533257428.77597,35778828721.35052,35779133326.287056,40533562051.49439,35780672044.23577,40535100768.424194,2.6948621238598998,-0.0451756835702927,40533257428.69794,35778828721.64176,35779133326.13395,40533562051.50067,35780672044.082664,40535100768.52604,2.771199941635132,0.0311621342049397,2.740037807430192,42.313395500183105
11,31,10,40203992887.92984,40204300530.52052,40205839247.5263,-82.8385009765625,-79.54940032958984,-80.4397964477539,-1.7461999654769895,-1.4407000541687012,-0.9592000246047974,-84.90589904785156,-85.1417007446289,-1.298200011253357,1.073799967765808,40203992888.19877,40204300530.34808,40205839247.37345,0.0856486056473561,42.88412666320801,40625924271.66478,37246859404.53299,37247167044.1639,40626231936.15064,37248705762.11263,40627770655.20839,3.691318025966893,0.2060131498251984,40625924271.64665,37246859404.90682,37247167044.08263,40626231936.44157,37248705762.03135,40627770655.5797,3.803400039672852,0.3180951635311575,3.4853048761416945,42.72809314727783
21,31,1,40203805794.76071,40204109811.34956,40205648534.95819,-80.55860137939453,-80.94629669189453,-81.7520980834961,-1.908200025558472,3.647900104522705,3.628400087356568,-94.9185028076172,-95.32520294189452,-5.392300128936768,5.401599884033203,40203805794.89636,40204109811.5574,40205648535.32793,0.1049325497166403,42.917908668518066,40691704367.81863,28572441.442275822,28876443.20063592,40692008400.70378,30415161.149353866,40693547126.88502,4.420659124106819,-0.0594470976888281,40691704367.8005,28572441.39059996,28876443.12149439,40692008400.56542,30415161.070212334,40693547126.82431,4.404399871826172,-0.075706349969475,4.480106221795647,42.85066795349121
20,31,1,40743610867.66309,40743914880.46013,40745453604.84747,-81.03510284423828,-78.54910278320312,-80.91709899902344,-1.884899973869324,4.039999961853027,3.625600099563599,-94.9185028076172,-95.32520294189452,-5.392300128936768,5.401599884033203,40743610867.622086,40743914880.93401,40745453604.78279,0.0668800376049247,43.04081654548645,40691704367.81863,28572441.442275822,28876443.20063592,40692008400.70378,30415161.149353866,40693547126.88502,4.420659124106819,-0.0594470976888281,40691704367.8005,28572441.39059996,28876443.12149439,40692008400.56542,30415161.070212334,40693547126.82431,4.404399871826172,-0.075706349969475,4.480106221795647,42.85066795349121
30,31,1,40354925814.0464,40355229844.54517,40356768568.319885,-80.80259704589844,-92.5386962890625,-95.50749969482422,-1.4006999731063845,3.882600069046021,4.175099849700928,-94.9185028076172,-95.32520294189452,-5.392300128936768,5.401599884033203,40354925814.05201,40355229844.65723,40356768568.34951,0.1986391765671151,43.09915471076965,40691704367.81863,28572441.442275822,28876443.20063592,40692008400.70378,30415161.149353866,40693547126.88502,4.420659124106819,-0.0594470976888281,40691704367.8005,28572441.39059996,28876443.12149439,40692008400.56542,30415161.070212334,40693547126.82431,4.404399871826172,-0.075706349969475,4.480106221795647,42.85066795349121
10,31,2,40737804064.70383,40738107888.98442,40739646619.544426,-92.61239624023438,-80.36319732666016,-82.03600311279297,-1.1025999784469604,8.459199905395508,8.534600257873535,-88.53230285644531,-89.67980194091797,-9.652199745178224,9.37559986114502,40737804064.72182,40738107888.82476,40739646619.70041,0.1831819754132287,43.24345898628235,40957698101.79298,57636858.48817043,57940665.96441997,40958001952.335686,59479383.91313792,40959540682.6861,6.08663586420347,1.081147292320618,40957698101.77485,57636858.70830829,57940665.877904646,40958001952.40461,59479383.8266226,40959540682.84206,6.14300012588501,1.137511554002158,5.005488571882852,43.12749242782593
