category,statistic,exp,fold,scenario,rmse_3d,rmse_x,rmse_y,rmse_z,nees,rmse_3d_std,nees_std,notes,source
Fixed tracker,per_experiment,default_3_movingTriangle_0b_ifo003,,Fixed_ifo001,0.4537941567540765,0.3672454499065746,0.1758531767570764,0.200338654411733,1.0429661991446288,,,fixed_tracker=ifo001,runs/20250927_combined_notebook_cv_eval/default_single_tracker/default_single_tracker_summary.csv
Fixed tracker,per_experiment,default_3_random2_0_ifo003,,Fixed_ifo001,0.8642196868491089,0.710511167521146,0.4726970341776425,0.1364077044927129,0.9456879052967968,,,fixed_tracker=ifo001,runs/20250927_combined_notebook_cv_eval/default_single_tracker/default_single_tracker_summary.csv
Fixed tracker,per_experiment,default_3_random2_0_ifo003,,Fixed_ifo001,0.6570120150512134,0.4839407870402225,0.4221670331908507,0.1387122872977746,0.6722480422747471,,,fixed_tracker=ifo001,runs/20250927_combined_notebook_cv_eval/default_single_tracker/default_single_tracker_summary.csv
Fixed tracker,per_experiment,default_3_random2_0_ifo003,,Fixed_ifo001,1.0066796500541555,0.7188892491994548,0.6912221214147596,0.1371646604832478,1.1544076887956425,,,fixed_tracker=ifo001,runs/20250927_192357_notebook_cv_eval/default_single_tracker_random/default_single_tracker_random_summary.csv
Fixed tracker,per_experiment,default_3_random3_0b_ifo003,,Fixed_ifo001,1.3659297771615553,0.7263928113952862,1.1465036255348495,0.153776059012154,1.558725293825298,,,fixed_tracker=ifo001,runs/20250927_combined_notebook_cv_eval/default_single_tracker/default_single_tracker_summary.csv
Fixed tracker,per_experiment,default_3_random3_0b_ifo003,,Fixed_ifo001,1.5056489769389072,0.8048093571335564,1.2287330696810832,0.3308712497325114,2.04797329025306,,,fixed_tracker=ifo001,runs/20250927_combined_notebook_cv_eval/default_single_tracker/default_single_tracker_summary.csv
Fixed tracker,per_experiment,default_3_random3_0b_ifo003,,Fixed_ifo001,1.381534739859621,0.569904678378629,1.2490614750934996,0.153923118596239,1.2140212133867485,,,fixed_tracker=ifo001,runs/20250927_192357_notebook_cv_eval/default_single_tracker_random/default_single_tracker_random_summary.csv
Fixed tracker,per_experiment,default_3_random3_1_ifo003,,Fixed_ifo001,0.778597949254051,0.5418254522952672,0.5219327051044304,0.2005646957218935,1.4876877910721935,,,fixed_tracker=ifo001,runs/20250927_combined_notebook_cv_eval/default_single_tracker/default_single_tracker_summary.csv
Fixed tracker,per_experiment,default_3_random3_1_ifo003,,Fixed_ifo001,1.5765762640100975,0.9345063940746124,0.9239599400265768,0.870969887481645,3.222548538360982,,,fixed_tracker=ifo001,runs/20250927_combined_notebook_cv_eval/default_single_tracker/default_single_tracker_summary.csv
Fixed tracker,per_experiment,default_3_random3_1_ifo003,,Fixed_ifo001,0.7470410860713989,0.5391235818026623,0.4911861871766222,0.1617166576141649,1.1732803529787816,,,fixed_tracker=ifo001,runs/20250927_192357_notebook_cv_eval/default_single_tracker_random/default_single_tracker_random_summary.csv
Fixed tracker,per_experiment,default_3_random3_2_ifo003,,Fixed_ifo001,2.2545599934147043,1.703565128245874,1.1242321912560107,0.9576056588567212,3.060438062986777,,,fixed_tracker=ifo001,runs/20250927_combined_notebook_cv_eval/default_single_tracker/default_single_tracker_summary.csv
Fixed tracker,per_experiment,default_3_random3_2_ifo003,,Fixed_ifo001,2.25039041175722,1.728689906018255,1.3267136510255793,0.561888870099609,6.2960728586819465,,,fixed_tracker=ifo001,runs/20250927_combined_notebook_cv_eval/default_single_tracker/default_single_tracker_summary.csv
Fixed tracker,per_experiment,default_3_random3_2_ifo003,,Fixed_ifo001,1.3298110182002438,0.8422868609204639,0.9337441275351144,0.4325183144575806,2.311024026506197,,,fixed_tracker=ifo001,runs/20250927_192357_notebook_cv_eval/default_single_tracker_random/default_single_tracker_random_summary.csv
Fixed tracker,per_experiment,default_3_random_0_ifo003,,Fixed_ifo001,0.7735614257892325,0.5509909960640795,0.5168792104614276,0.1662590855206187,1.2361374235586158,,,fixed_tracker=ifo001,runs/20250927_combined_notebook_cv_eval/default_single_tracker/default_single_tracker_summary.csv
Fixed tracker,per_experiment,default_3_random_0_ifo003,,Fixed_ifo001,0.7564336847417092,0.6431397486001142,0.3663590261651172,0.1560264308694049,0.908969168111553,,,fixed_tracker=ifo001,runs/20250927_combined_notebook_cv_eval/default_single_tracker/default_single_tracker_summary.csv
Fixed tracker,per_experiment,default_3_random_0_ifo003,,Fixed_ifo001,0.8154330253658968,0.6110327952004836,0.5111528183173705,0.1740480921270755,1.3780946732994044,,,fixed_tracker=ifo001,runs/20250927_192357_notebook_cv_eval/default_single_tracker_random/default_single_tracker_random_summary.csv
Fixed tracker,per_experiment,default_3_random_0b_ifo003,,Fixed_ifo001,1.1224871247025432,0.6087234130577641,0.9303225094968912,0.1547035223958918,1.874418409997065,,,fixed_tracker=ifo001,runs/20250927_combined_notebook_cv_eval/default_single_tracker/default_single_tracker_summary.csv
Fixed tracker,per_experiment,default_3_random_0b_ifo003,,Fixed_ifo001,0.7120451361857427,0.6214086263308747,0.3097384350879673,0.1578660727217972,0.901233380748484,,,fixed_tracker=ifo001,runs/20250927_combined_notebook_cv_eval/default_single_tracker/default_single_tracker_summary.csv
Fixed tracker,per_experiment,default_3_random_0b_ifo003,,Fixed_ifo001,1.0813217403887476,0.5592921631038915,0.9117712332883072,0.1584998444032154,1.9128172180481715,,,fixed_tracker=ifo001,runs/20250927_192357_notebook_cv_eval/default_single_tracker_random/default_single_tracker_random_summary.csv
Fixed tracker,per_experiment,default_3_zigzag_0,,Fixed_ifo001,1.344185898295114,0.9926237443653454,0.8966196224736934,0.1326916873534535,2.05802310098958,,,fixed_tracker=ifo001,runs/20250928_170847_notebook_cv_eval/zig_sections/fixed_tracker_ifo001/fixed_tracker_summary.csv
