category,statistic,exp,fold,scenario,rmse_3d,rmse_x,rmse_y,rmse_z,nees,rmse_3d_std,nees_std,notes,source
Pattern CV,per_fold,default_3_random3_1_ifo003,4.0,FusionNet_ByTime,1.5780499552820828,0.8118157731488252,1.028846386533822,0.8790175906936379,2.94274757001849,,,scenario_key=C2_fn_by_time,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random3_2_ifo003,5.0,FusionNet_ByTime,2.5675098446958176,1.502896706572232,1.9281689014811816,0.7845845903056902,4.446730776841005,,,scenario_key=C2_fn_by_time,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random_0_ifo003,6.0,FusionNet_ByTime,0.5985702760285884,0.5093092311538433,0.2738699494543465,0.1545500992956476,1.0391654385522755,,,scenario_key=C2_fn_by_time,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random_0b_ifo003,7.0,FusionNet_ByTime,0.867115122735572,0.4458370490069718,0.7279683832977423,0.1522497774328542,1.1988485704726488,,,scenario_key=C2_fn_by_time,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,scenario_summary,,,Baseline_Grid,1.071238021428746,0.6826074715794095,0.7495166548576959,0.23252182677420988,1.7942241455417964,0.7651877866838376,1.323037151976105,"scenario_key=A_baseline_grid, folds=7",runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,scenario_summary,,,BiasNet+FusionNet_ByExp,1.0368386687654925,0.6434752411915728,0.7063623398971559,0.328297340267902,1.758200783885097,0.7851981173640605,1.3831584942880706,"scenario_key=D_bnfn_by_exp, folds=7",runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,scenario_summary,,,BiasNet_ByExp,1.0089462575282944,0.657694090122139,0.698998882230066,0.23326305320741927,1.7021101537150423,0.758749131171139,1.2341639570221499,"scenario_key=B2_bn_by_exp, folds=7",runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,scenario_summary,,,BiasNet_ByTime,1.0282792483084149,0.7033585950940784,0.6755029546675555,0.23327451458763354,1.7398452870557788,0.7537670177533464,1.3089754758166643,"scenario_key=B1_bn_by_time, folds=7",runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,scenario_summary,,,Budgeted_K2,1.106774990947216,0.6389886578641536,0.7949362863232611,0.3444194239244097,1.802383903498529,0.7891138349814962,1.379378374504217,"scenario_key=E_budget_k2, folds=7",runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,scenario_summary,,,FusionNet_ByExp,1.1016640213254063,0.6347281559286032,0.7923971345070564,0.3404860077935944,1.8135858440704877,0.763564540015662,1.3632713481271266,"scenario_key=C1_fn_by_exp, folds=7",runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,scenario_summary,,,FusionNet_ByTime,1.106774990947216,0.6389886578641536,0.7949362863232611,0.3444194239244097,1.802383903498529,0.7891138349814962,1.379378374504217,"scenario_key=C2_fn_by_time, folds=7",runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Tracker comparison,delta,default_3_zigzag_0,,Adaptive - Baseline,0.302091,,,,,,,,runs/20250927_combined_notebook_cv_eval/figures/tracker_strategy_comparison.csv
Tracker comparison,delta,default_3_zigzag_1,,Adaptive - Baseline,0.2275,,,,,,,,runs/20250927_combined_notebook_cv_eval/figures/tracker_strategy_comparison.csv
Tracker comparison,delta,default_3_zigzag_2,,Adaptive - Baseline,-0.947795,,,,,,,,runs/20250927_combined_notebook_cv_eval/figures/tracker_strategy_comparison.csv
Tracker comparison,delta,default_3_zigzag_0,,Fixed - Adaptive,0.03729,,,,,,,,runs/20250927_combined_notebook_cv_eval/figures/tracker_strategy_comparison.csv
Tracker comparison,delta,default_3_zigzag_1,,Fixed - Adaptive,0.003483,,,,,,,,runs/20250927_combined_notebook_cv_eval/figures/tracker_strategy_comparison.csv
Tracker comparison,delta,default_3_zigzag_2,,Fixed - Adaptive,0.006798,,,,,,,,runs/20250927_combined_notebook_cv_eval/figures/tracker_strategy_comparison.csv
Tracker comparison,delta,default_3_zigzag_0,,Fixed - Baseline,0.339382,,,,,,,,runs/20250927_combined_notebook_cv_eval/figures/tracker_strategy_comparison.csv
Tracker comparison,delta,default_3_zigzag_1,,Fixed - Baseline,0.230983,,,,,,,,runs/20250927_combined_notebook_cv_eval/figures/tracker_strategy_comparison.csv
Tracker comparison,delta,default_3_zigzag_2,,Fixed - Baseline,-0.940997,,,,,,,,runs/20250927_combined_notebook_cv_eval/figures/tracker_strategy_comparison.csv
Tracker comparison,per_experiment,default_3_zigzag_0,,Adaptive,1.306895,,,,2.040851,,,,runs/20250927_combined_notebook_cv_eval/figures/tracker_strategy_comparison.csv
Tracker comparison,per_experiment,default_3_zigzag_1,,Adaptive,0.690043,,,,0.620279,,,,runs/20250927_combined_notebook_cv_eval/figures/tracker_strategy_comparison.csv
Tracker comparison,per_experiment,default_3_zigzag_2,,Adaptive,3.068157,,,,11.375468,,,,runs/20250927_combined_notebook_cv_eval/figures/tracker_strategy_comparison.csv
Tracker comparison,per_experiment,default_3_zigzag_0,,Baseline,1.004804,,,,1.497146,,,,runs/20250927_combined_notebook_cv_eval/figures/tracker_strategy_comparison.csv
Tracker comparison,per_experiment,default_3_zigzag_1,,Baseline,0.462543,,,,0.550736,,,,runs/20250927_combined_notebook_cv_eval/figures/tracker_strategy_comparison.csv
Tracker comparison,per_experiment,default_3_zigzag_2,,Baseline,4.015952,,,,10.016784,,,,runs/20250927_combined_notebook_cv_eval/figures/tracker_strategy_comparison.csv
Tracker comparison,per_experiment,default_3_zigzag_0,,Fixed_ifo001,1.344186,,,,2.058023,,,,runs/20250927_combined_notebook_cv_eval/figures/tracker_strategy_comparison.csv
Tracker comparison,per_experiment,default_3_zigzag_1,,Fixed_ifo001,0.693526,,,,0.587426,,,,runs/20250927_combined_notebook_cv_eval/figures/tracker_strategy_comparison.csv
Tracker comparison,per_experiment,default_3_zigzag_2,,Fixed_ifo001,3.074955,,,,10.990257,,,,runs/20250927_combined_notebook_cv_eval/figures/tracker_strategy_comparison.csv
Zigzag LOEO,per_fold,default_3_zigzag_0,1.0,Baseline_Grid,1.004804052728874,0.893389036589518,0.441894261502227,0.1273447106613261,1.4971463562247906,,,,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_results.csv
Zigzag LOEO,per_fold,default_3_zigzag_1,2.0,Baseline_Grid,0.4625432028631376,0.345359481294393,0.2882004826279902,0.1077660661245046,0.550735805161643,,,,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_results.csv
Zigzag LOEO,per_fold,default_3_zigzag_2,3.0,Baseline_Grid,4.01595173026905,2.6305353484150005,2.991859612854861,0.5068807922560583,10.016784479943306,,,,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_results.csv
Zigzag LOEO,per_fold,default_3_zigzag_0,1.0,BiasNet+FusionNet_ByExp,1.0301151158859982,0.9195480594416372,0.4467626132077187,0.126379135120319,1.4575122760325565,,,,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_results.csv
Zigzag LOEO,per_fold,default_3_zigzag_1,2.0,BiasNet+FusionNet_ByExp,0.6206476068576805,0.4717415249765165,0.3886563144281471,0.107748107946863,0.6011222514450542,,,,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_results.csv
Zigzag LOEO,per_fold,default_3_zigzag_2,3.0,BiasNet+FusionNet_ByExp,3.860551916206996,2.5067736557353832,2.7709281591527706,0.9705174256316684,7.1393674455592375,,,,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_results.csv
Zigzag LOEO,per_fold,default_3_zigzag_0,1.0,BiasNet_ByExp,1.0397304953413655,0.9302069581864092,0.4467865845740447,0.1270286020116547,1.5585784391982838,,,,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_results.csv
Zigzag LOEO,per_fold,default_3_zigzag_1,2.0,BiasNet_ByExp,1.302568637555042,1.0098711197637993,0.8156547370617239,0.1074836123219456,1.558846919407436,,,,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_results.csv
Zigzag LOEO,per_fold,default_3_zigzag_2,3.0,BiasNet_ByExp,3.7943997852984377,2.231283041219521,3.0259694998486903,0.5122053363882463,10.440049390740391,,,,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_results.csv
Zigzag LOEO,per_fold,default_3_zigzag_0,1.0,BiasNet_ByTime,1.0427070484936438,0.935863314557264,0.4418644231680977,0.127097116342351,1.5668777576228945,,,,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_results.csv
Zigzag LOEO,per_fold,default_3_zigzag_1,2.0,BiasNet_ByTime,2.637365439448572,1.4888336568987228,2.174294829766665,0.1072977005030722,3.602096682397715,,,,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_results.csv
Zigzag LOEO,per_fold,default_3_zigzag_2,3.0,BiasNet_ByTime,3.992454867619097,2.5235757816760502,3.0415922020451087,0.5656659973623952,10.523299082928482,,,,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_results.csv
Zigzag LOEO,per_fold,default_3_zigzag_0,1.0,Budgeted_K2,0.9922688652594815,0.884333315327145,0.4320224695424816,0.1261295927856082,1.383024965526012,,,,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_results.csv
Zigzag LOEO,per_fold,default_3_zigzag_1,2.0,Budgeted_K2,0.439109283897738,0.325803841582268,0.2738973018937658,0.1079309410259112,0.5098627662773622,,,,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_results.csv
Zigzag LOEO,per_fold,default_3_zigzag_2,3.0,Budgeted_K2,2.709487360852634,1.8400061190217816,1.9184763258505209,0.524545353362009,5.894762945394246,,,,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_results.csv
Zigzag LOEO,per_fold,default_3_zigzag_0,1.0,FusionNet_ByExp,0.9910105509435142,0.8827649403037183,0.4322862012817348,0.1263194855647988,1.3846904224495382,,,,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_results.csv
Zigzag LOEO,per_fold,default_3_zigzag_1,2.0,FusionNet_ByExp,0.4440464334465889,0.3285543954194789,0.2783964744557497,0.1082804105911406,0.4972645936401426,,,,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_results.csv
Zigzag LOEO,per_fold,default_3_zigzag_2,3.0,FusionNet_ByExp,3.435123918015224,2.352190527234352,2.4485888243915124,0.521237781414783,7.3418977078149155,,,,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_results.csv
Zigzag LOEO,per_fold,default_3_zigzag_0,1.0,FusionNet_ByTime,0.9922688652594815,0.884333315327145,0.4320224695424816,0.1261295927856082,1.383024965526012,,,,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_results.csv
Zigzag LOEO,per_fold,default_3_zigzag_1,2.0,FusionNet_ByTime,0.439109283897738,0.325803841582268,0.2738973018937658,0.1079309410259112,0.5098627662773622,,,,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_results.csv
Zigzag LOEO,per_fold,default_3_zigzag_2,3.0,FusionNet_ByTime,2.709487360852634,1.8400061190217816,1.9184763258505209,0.524545353362009,5.894762945394246,,,,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_results.csv
Zigzag LOEO,scenario_summary,,,Baseline_Grid,1.8278,,,,4.0216,1.9143,5.2135,experiments=3,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_summary.csv
Zigzag LOEO,scenario_summary,,,BiasNet+FusionNet_ByExp,1.8371,,,,3.066,1.7643,3.5535,experiments=3,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_summary.csv
Zigzag LOEO,scenario_summary,,,BiasNet_ByExp,2.0456,,,,4.5192,1.5202,5.1276,experiments=3,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_summary.csv
Zigzag LOEO,scenario_summary,,,BiasNet_ByTime,2.5575,,,,5.2308,1.4765,4.6951,experiments=3,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_summary.csv
Zigzag LOEO,scenario_summary,,,Budgeted_K2,1.3803,,,,2.5959,1.1839,2.8901,experiments=3,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_summary.csv
Zigzag LOEO,scenario_summary,,,FusionNet_ByExp,1.6234,,,,3.0746,1.5927,3.7221,experiments=3,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_summary.csv
Zigzag LOEO,scenario_summary,,,FusionNet_ByTime,1.3803,,,,2.5959,1.1839,2.8901,experiments=3,runs/20250927_combined_notebook_cv_eval/zigzag_loeo_summary.csv
